Sample Name, Eq3S1.sca
Time, October 29 15:21:45 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
965.0, 0.0034, 99.23
966.0, 0.0035, 99.19
967.0, 0.0034, 99.21
968.0, 0.0040, 99.08
969.0, 0.0036, 99.19
970.0, 0.0037, 99.15
971.0, 0.0036, 99.18
972.0, 0.0037, 99.16
973.0, 0.0037, 99.15
974.0, 0.0035, 99.20
975.0, 0.0036, 99.19
976.0, 0.0035, 99.20
977.0, 0.0037, 99.16
978.0, 0.0035, 99.19
979.0, 0.0035, 99.20
980.0, 0.0033, 99.23
981.0, 0.0035, 99.20
982.0, 0.0039, 99.10
983.0, 0.0040, 99.08
984.0, 0.0037, 99.15
985.0, 0.0040, 99.08
986.0, 0.0037, 99.16
987.0, 0.0034, 99.22
988.0, 0.0034, 99.22
989.0, 0.0036, 99.16
990.0, 0.0036, 99.16
991.0, 0.0039, 99.11
992.0, 0.0037, 99.15
993.0, 0.0037, 99.16
994.0, 0.0039, 99.10
995.0, 0.0039, 99.10
996.0, 0.0038, 99.12
997.0, 0.0034, 99.21
998.0, 0.0035, 99.19
999.0, 0.0039, 99.11
1000.0, 0.0041, 99.07
1001.0, 0.0040, 99.09
1002.0, 0.0038, 99.12
1003.0, 0.0043, 99.02
1004.0, 0.0040, 99.09
1005.0, 0.0041, 99.06
1006.0, 0.0039, 99.10
1007.0, 0.0039, 99.11
1008.0, 0.0038, 99.13
1009.0, 0.0039, 99.11
1010.0, 0.0037, 99.16
1011.0, 0.0039, 99.10
1012.0, 0.0039, 99.11
1013.0, 0.0044, 98.99
1014.0, 0.0041, 99.07
1015.0, 0.0040, 99.08
1016.0, 0.0041, 99.06
1017.0, 0.0040, 99.08
1018.0, 0.0041, 99.05
1019.0, 0.0041, 99.06
1020.0, 0.0041, 99.05
1021.0, 0.0041, 99.05
1022.0, 0.0045, 98.97
1023.0, 0.0046, 98.95
1024.0, 0.0049, 98.88
1025.0, 0.0049, 98.88
1026.0, 0.0041, 99.07
1027.0, 0.0044, 98.99
1028.0, 0.0044, 98.98
1029.0, 0.0044, 98.99
1030.0, 0.0043, 99.02
1031.0, 0.0046, 98.94
1032.0, 0.0046, 98.95
1033.0, 0.0045, 98.97
1034.0, 0.0049, 98.89
1035.0, 0.0049, 98.88
1036.0, 0.0051, 98.83
1037.0, 0.0049, 98.88
1038.0, 0.0052, 98.82
1039.0, 0.0051, 98.83
1040.0, 0.0055, 98.75
1041.0, 0.0053, 98.79
1042.0, 0.0050, 98.86
1043.0, 0.0050, 98.86
1044.0, 0.0056, 98.72
1045.0, 0.0052, 98.82
1046.0, 0.0052, 98.80
1047.0, 0.0057, 98.69
1048.0, 0.0055, 98.74
1049.0, 0.0051, 98.83
1050.0, 0.0058, 98.67
1051.0, 0.0063, 98.55
1052.0, 0.0065, 98.53
1053.0, 0.0059, 98.65
1054.0, 0.0061, 98.61
1055.0, 0.0067, 98.47
1056.0, 0.0072, 98.36
1057.0, 0.0065, 98.53
1058.0, 0.0061, 98.60
1059.0, 0.0071, 98.37
1060.0, 0.0079, 98.20
1061.0, 0.0077, 98.25
1062.0, 0.0068, 98.46
1063.0, 0.0067, 98.47
1064.0, 0.0078, 98.22
1065.0, 0.0086, 98.03
1066.0, 0.0083, 98.10
1067.0, 0.0073, 98.33
