Sample Name, Equipo1S2.sca
Time, November 05 14:42:31 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
864.0, 0.1290, 74.29
865.0, 0.1288, 74.33
866.0, 0.1286, 74.37
867.0, 0.1286, 74.36
868.0, 0.1288, 74.34
869.0, 0.1283, 74.43
870.0, 0.1280, 74.47
871.0, 0.1282, 74.45
872.0, 0.1281, 74.45
873.0, 0.1276, 74.54
874.0, 0.1278, 74.50
875.0, 0.1279, 74.50
876.0, 0.1277, 74.52
877.0, 0.1276, 74.54
878.0, 0.1280, 74.48
879.0, 0.1273, 74.59
880.0, 0.1276, 74.54
881.0, 0.1275, 74.56
882.0, 0.1276, 74.55
883.0, 0.1274, 74.57
884.0, 0.1270, 74.65
885.0, 0.1266, 74.71
886.0, 0.1268, 74.68
887.0, 0.1271, 74.63
888.0, 0.1266, 74.72
889.0, 0.1268, 74.68
890.0, 0.1263, 74.76
891.0, 0.1261, 74.80
892.0, 0.1268, 74.67
893.0, 0.1265, 74.73
894.0, 0.1262, 74.78
895.0, 0.1261, 74.80
896.0, 0.1257, 74.86
897.0, 0.1256, 74.89
898.0, 0.1253, 74.93
899.0, 0.1252, 74.95
900.0, 0.1257, 74.88
901.0, 0.1258, 74.85
902.0, 0.1255, 74.90
903.0, 0.1255, 74.90
904.0, 0.1252, 74.95
905.0, 0.1252, 74.96
906.0, 0.1253, 74.94
907.0, 0.1252, 74.96
908.0, 0.1249, 75.01
909.0, 0.1249, 75.01
910.0, 0.1246, 75.06
911.0, 0.1248, 75.02
912.0, 0.1245, 75.07
913.0, 0.1246, 75.07
914.0, 0.1242, 75.14
915.0, 0.1240, 75.15
916.0, 0.1239, 75.19
917.0, 0.1238, 75.19
918.0, 0.1234, 75.27
919.0, 0.1235, 75.25
920.0, 0.1240, 75.17
921.0, 0.1237, 75.22
922.0, 0.1239, 75.18
923.0, 0.1236, 75.23
924.0, 0.1235, 75.25
925.0, 0.1235, 75.25
926.0, 0.1233, 75.28
927.0, 0.1228, 75.36
928.0, 0.1234, 75.26
929.0, 0.1233, 75.29
930.0, 0.1231, 75.33
931.0, 0.1230, 75.33
932.0, 0.1227, 75.38
933.0, 0.1232, 75.30
934.0, 0.1227, 75.38
935.0, 0.1225, 75.43
936.0, 0.1226, 75.40
937.0, 0.1222, 75.47
938.0, 0.1223, 75.46
939.0, 0.1224, 75.45
940.0, 0.1221, 75.50
941.0, 0.1218, 75.54
942.0, 0.1219, 75.52
943.0, 0.1216, 75.59
944.0, 0.1220, 75.52
945.0, 0.1218, 75.54
946.0, 0.1214, 75.61
947.0, 0.1216, 75.58
948.0, 0.1214, 75.61
949.0, 0.1213, 75.63
950.0, 0.1211, 75.67
951.0, 0.1213, 75.63
952.0, 0.1212, 75.65
953.0, 0.1210, 75.69
954.0, 0.1209, 75.70
955.0, 0.1209, 75.71
956.0, 0.1205, 75.76
957.0, 0.1205, 75.78
958.0, 0.1204, 75.79
959.0, 0.1201, 75.84
960.0, 0.1204, 75.80
961.0, 0.1201, 75.83
962.0, 0.1202, 75.83
963.0, 0.1203, 75.80
964.0, 0.1200, 75.85
965.0, 0.1200, 75.87
966.0, 0.1199, 75.88
967.0, 0.1199, 75.88
968.0, 0.1200, 75.85
969.0, 0.1198, 75.90
970.0, 0.1199, 75.87
971.0, 0.1196, 75.93
972.0, 0.1195, 75.95
973.0, 0.1196, 75.93
974.0, 0.1193, 75.99
975.0, 0.1190, 76.02
976.0, 0.1190, 76.03
977.0, 0.1190, 76.02
978.0, 0.1189, 76.05
979.0, 0.1187, 76.08
980.0, 0.1187, 76.09
981.0, 0.1187, 76.09
982.0, 0.1189, 76.05
983.0, 0.1188, 76.07
984.0, 0.1183, 76.15
985.0, 0.1187, 76.08
986.0, 0.1181, 76.18
987.0, 0.1180, 76.21
988.0, 0.1180, 76.21
989.0, 0.1181, 76.19
990.0, 0.1177, 76.26
991.0, 0.1179, 76.22
992.0, 0.1180, 76.21
993.0, 0.1178, 76.25
994.0, 0.1177, 76.25
995.0, 0.1175, 76.30
996.0, 0.1176, 76.28
997.0, 0.1173, 76.33
998.0, 0.1172, 76.35
999.0, 0.1176, 76.28
1000.0, 0.1175, 76.30
1001.0, 0.1173, 76.34
1002.0, 0.1173, 76.33
1003.0, 0.1170, 76.39
1004.0, 0.1168, 76.42
1005.0, 0.1172, 76.34
1006.0, 0.1168, 76.43
1007.0, 0.1165, 76.47
1008.0, 0.1166, 76.45
1009.0, 0.1167, 76.43
1010.0, 0.1164, 76.49
1011.0, 0.1162, 76.53
1012.0, 0.1164, 76.49
1013.0, 0.1167, 76.44
1014.0, 0.1164, 76.49
1015.0, 0.1160, 76.56
1016.0, 0.1161, 76.54
1017.0, 0.1157, 76.61
1018.0, 0.1161, 76.54
1019.0, 0.1162, 76.52
1020.0, 0.1156, 76.63
1021.0, 0.1157, 76.62
1022.0, 0.1158, 76.59
1023.0, 0.1152, 76.70
1024.0, 0.1151, 76.71
1025.0, 0.1151, 76.72
1026.0, 0.1148, 76.77
1027.0, 0.1150, 76.74
1028.0, 0.1150, 76.74
1029.0, 0.1147, 76.79
1030.0, 0.1146, 76.81
1031.0, 0.1148, 76.78
1032.0, 0.1146, 76.80
1033.0, 0.1143, 76.87
1034.0, 0.1145, 76.82
1035.0, 0.1148, 76.77
1036.0, 0.1148, 76.78
1037.0, 0.1145, 76.82
1038.0, 0.1146, 76.81
1039.0, 0.1145, 76.83
1040.0, 0.1146, 76.81
1041.0, 0.1146, 76.81
1042.0, 0.1146, 76.81
1043.0, 0.1142, 76.88
1044.0, 0.1144, 76.84
1045.0, 0.1142, 76.89
1046.0, 0.1140, 76.92
1047.0, 0.1141, 76.90
1048.0, 0.1139, 76.93
1049.0, 0.1137, 76.97
1050.0, 0.1139, 76.94
1051.0, 0.1139, 76.92
1052.0, 0.1142, 76.89
1053.0, 0.1139, 76.92
1054.0, 0.1141, 76.89
1055.0, 0.1141, 76.90
1056.0, 0.1143, 76.86
1057.0, 0.1139, 76.93
1058.0, 0.1134, 77.01
1059.0, 0.1133, 77.03
1060.0, 0.1136, 76.98
1061.0, 0.1142, 76.88
1062.0, 0.1140, 76.92
1063.0, 0.1136, 76.99
1064.0, 0.1129, 77.11
1065.0, 0.1133, 77.04
1066.0, 0.1140, 76.91
